run,runtime,cold_start_ms
1,kata,3873
2,kata,3880
3,kata,3892
4,kata,3880
5,kata,3860
6,kata,3882
7,kata,3891
8,kata,3889
9,kata,3870
10,kata,3872
11,kata,3863
12,kata,3892
13,kata,3843
14,kata,3883
15,kata,3875
16,kata,2888
17,kata,2876
18,kata,2892
19,kata,2874
20,kata,2892
21,kata,2874
22,kata,2885
23,kata,2898
24,kata,2866
25,kata,2863
26,kata,2874
27,kata,2863
28,kata,2892
29,kata,2887
30,kata,2889
31,kata,2876
32,kata,4883
33,kata,2853
34,kata,2865
35,kata,2885
36,kata,2887
37,kata,2865
38,kata,2892
39,kata,2874
40,kata,2885
41,kata,2865
42,kata,2910
43,kata,2851
44,kata,2881
45,kata,2873
46,kata,2865
47,kata,2873
48,kata,2874
49,kata,2855
50,kata,2891
